,Art Title,Movement,Name
36856,the-annunciation,Naive Art Primitivism,fernand-leger
36857,death-of-fedor-chizhov-1-1877,Realism,ilya-repin
36858,geisha-10,Art Nouveau Modern,raphael-kirchner
36859,not-detected-272394,Pop Art,hiro-yamagata
36860,the-raised-terrace-of-the-pont-neuf-1902,Impressionism,camille-pissarro
36861,self-portrait-with-her-daughter-julie-1786,Rococo,louise-elisabeth-vigee-le-brun
36862,murga-cadiz,Expressionism,jose-gutierrez-solana
36863,water-lilies-1917-1,Impressionism,claude-monet
36864,still-life-roses,Fauvism,ilya-mashkov
36865,girl-in-burnous,Romanticism,konstantin-makovsky
36866,study-to-boyarynya-morozova-9,Realism,vasily-surikov
36867,near-arras-the-banks-of-the-scarpe,Realism,camille-corot
36868,travelling-show-1906,Post Impressionism,raoul-dufy
36869,the-mother-leading-two-children-1901,Post Impressionism,pablo-picasso
36870,nude-1939(1),Naive Art Primitivism,william-h.-johnson
36871,the-gardener,Fauvism,maurice-de-vlaminck
36872,elisabeth-christine,Rococo,antoine-pesne
36873,sandy-road-1898,Realism,ivan-shishkin
36874,girl-with-pinafore-half-figure-1883(1),Realism,vincent-van-gogh
36875,madonna-and-child-1,High Renaissance,cima-da-conegliano
36876,at-the-piano,Impressionism,julian-alden-weir
36877,portrait-of-hedwig-hagemann-1903,Expressionism,paula-modersohn-becker
36878,autumn-on-the-wissahickon-1864,Romanticism,thomas-moran
36879,spring-flowers-1864,Impressionism,claude-monet
36880,view-of-montmartre-1886,Post Impressionism,vincent-van-gogh
36881,reedpipe-1931,Symbolism,mikhail-nesterov
36882,man-standing-arms-extended,Impressionism,paul-cezanne
36883,the-royalist,Romanticism,john-everett-millais
36884,yellowstone-park,Impressionism,john-henry-twachtman
36885,st-thomas-1514,Northern Renaissance,albrecht-durer
36886,bellona,Impressionism,auguste-rodin
36887,altar-of-the-cappella-del-sacramento(1),Baroque,gian-lorenzo-bernini
36888,torso-of-venus-1887-2,Realism,vincent-van-gogh
36889,janela-aberta-1998,Color Field Painting,pedro-calapez
36890,rodez,Impressionism,paul-signac
36891,breakfast-in-the-open-1913(1),Art Nouveau Modern,carl-larsson
36892,the-emperor-charlemagne-finds-roland-s-corpse-after-the-battle-of-roncevaux,Northern Renaissance,jean-fouquet
36893,place-from-a-knoll-montmartre,Post Impressionism,edouard-cortes
36894,in-the-boat-1888,Impressionism,konstantin-korovin
36895,the-jewish-girl-from-sefrou-1932,Expressionism,zinaida-serebriakova
36896,flowers-and-ceramic-plate,Expressionism,henri-matisse
36897,parfums-1900-4,Art Nouveau Modern,raphael-kirchner
36898,still-life-with-peaches-1889,Post Impressionism,paul-gauguin
36899,madonna-with-two-angels(1),Early Renaissance,sandro-botticelli
36900,two-women-1891,Realism,constantin-guys
36901,janskerk-gouda-1863,Romanticism,cornelis-springer
36902,microphysical-madonna,Cubism,salvador-dali
36903,descent-from-the-cross-outside-left-1614,Baroque,peter-paul-rubens
36904,sails-on-the-oise-1919,Post Impressionism,gustave-loiseau
36905,war-scene-1937-2,Expressionism,arturo-souto
36906,sunset-over-a-forest-lake-study,Realism,isaac-levitan
36907,mnemosyne-1881,Romanticism,dante-gabriel-rossetti
36908,the-meeting-of-abraham-and-melchizedek,Northern Renaissance,dirk-bouts
36909,the-sower-1907,Impressionism,ivan-grohar
36910,portrait-of-madame-felicie-vellay-estruc,Impressionism,camille-pissarro
36911,nuvol-a-la-nit-1991,Minimalism,joan-hernandez-pijuan
36912,portrait-of-patience-escalier-1888-1,Post Impressionism,vincent-van-gogh
36913,tempest-rain-1899,Realism,isaac-levitan
36914,dessert-1904,Post Impressionism,maxime-maufra
36915,rex-ii-1904,Symbolism,mikalojus-ciurlionis
36916,a-woman-at-the-bath-with-a-hat-beside-her-1658,Baroque,rembrandt
36917,avenue-de-l-opera-place-du-thretre-francais-misty-weather-1898,Impressionism,camille-pissarro
36918,untitled-ii,Pop Art,tano-festa
36919,otori-shrine,Ukiyo e,hiroshige
36920,three-masted-ship-at-dock,Impressionism,eugene-boudin
36921,quai-malaquais-in-the-afternoon-sunshine-1903,Impressionism,camille-pissarro
36922,interior-with-harmonium-1900,Impressionism,henri-matisse
36923,illustration-for-the-book-of-b-dix-toys-1911,Art Nouveau Modern,heorhiy-narbut
36924,romeo-and-juliet,Romanticism,konstantin-makovsky
36925,yvonne-d-in-profile-yvonne-d-de-profil-1913,Cubism,jacques-villon
36926,still-life-with-bottles-and-apples,Impressionism,paul-cezanne
36927,the-artist-1927,Impressionism,ion-theodorescu-sion
36928,christ-at-emmaus-1634,Baroque,rembrandt
36929,pheb-in-his-chariot(1),Romanticism,karl-bryullov
36930,la-belle-jardiniere-july-1896,Art Nouveau Modern,eugã¨ne-grasset
36931,pond,Realism,ivan-shishkin
36932,view-of-marly-le-roi-from-house-at-coeur-colant-1876,Impressionism,alfred-sisley
36933,portrait-of-aleksei-alekseevich-konstantinova-1806,Rococo,vladimir-borovikovsky
36934,the-rhine-bridge,Expressionism,ernst-ludwig-kirchner
36935,the-torrent,Impressionism,john-henry-twachtman
36936,portrait-of-a-pondo-woman-1929,Post Impressionism,irma-stern
36937,nude-drawings-6,Art Nouveau Modern,raphael-kirchner
36938,polish-hector,Art Nouveau Modern,jacek-malczewski
36939,perugia-lion-and-gryphon,Symbolism,mstislav-dobuzhinsky
36940,portrait-of-a-lady-1,Impressionism,william-merritt-chase
36941,still-life-with-bottle-of-rum-1911,Analytical Cubism,pablo-picasso
36942,in-conjunction-1886,Impressionism,konstantin-korovin
36943,boats-on-the-shore,Post Impressionism,kimon-loghi
36944,paris-street-scene,Expressionism,gerard-sekoto
36945,my-daughter-dorothy,Impressionism,william-merritt-chase
36946,two-women,Post Impressionism,gwen-john
36947,notre-dame-de-clignantcourt,Post Impressionism,maurice-utrillo
36948,seascape-with-cow-on-the-edge-of-a-cliff-1888,Post Impressionism,paul-gauguin
36949,skull-with-burning-cigarette-1885,Realism,vincent-van-gogh
36950,brother-and-sister-1933,Expressionism,max-beckmann
36951,self-portrait-1833,Romanticism,karl-bryullov
36952,the-penance-of-st-john-chrysostom,Northern Renaissance,albrecht-durer
36953,the-sibyls-santa-maria-della-pace,High Renaissance,raphael
36954,untitled-sf-61-012-1961,Abstract Expressionism,sam-francis
36955,at-the-brickyard,Impressionism,adam-baltatu
36956,animal-legend-1912,Expressionism,franz-marc
36957,portrait-of-giovanni-gabrieli-with-the-lute,Baroque,annibale-carracci
36958,reapers,Realism,alexey-venetsianov
36959,the-last-day-of-pompeii-1833,Romanticism,karl-bryullov
36960,petworth-the-drawing-room-bodycolor-on-blue-paper,Romanticism,william-turner
36961,saint-peter,Baroque,guido-reni
36962,initial-v-1,Expressionism,m.c.-escher
36963,remembrance-of-a-garden-1914(1),Expressionism,paul-klee
36964,village-by-the-sea-1889,Impressionism,pierre-auguste-renoir
36965,view-of-the-weald-of-kent,Impressionism,winston-churchill
36966,the-portinari-altarpiece-st-mary-magdalen-and-st-margaret-with-maria-baroncelli-and-daughter,Northern Renaissance,hugo-van-der-goes
36967,the-annunciation-1501,High Renaissance,pinturicchio
36968,the-source-at-ornans-1873,Realism,gustave-courbet
36969,hayrick-1900,Impressionism,john-henry-twachtman
36970,crucifixion,Early Renaissance,masaccio
36971,virgin-and-child-4,Northern Renaissance,rogier-van-der-weyden
36972,alaverdi-copper-chemical-complex-1937,Realism,martiros-saryan
36973,vegetables-merchant-1920,Art Nouveau Modern,boris-kustodiev
36974,all-healing-1,Art Nouveau Modern,raphael-kirchner
36975,not,Romanticism,vasily-tropinin
36976,david-and-bathsheba-1952,Naive Art Primitivism,marc-chagall
36977,portrait-of-sergei-witte-minister-of-finance-1903,Realism,ilya-repin
36978,badikan-and-khan-bohu-1933,Symbolism,martiros-saryan
36979,playing-billiards-petworth,Romanticism,william-turner
36980,santa-maria-della-salute-1904,Impressionism,john-singer-sargent
36981,lady-in-a-garden,Post Impressionism,victor-borisov-musatov
36982,pub-garden-1663,Baroque,jan-steen
36983,vilna-the-old-manor-house-on-mostovaya-street-1910,Symbolism,mstislav-dobuzhinsky
36984,portrait-of-jeanne-hebuterne-in-a-blue-chair-1918,Expressionism,amedeo-modigliani
36985,maine-coast-booths-bay,Impressionism,charles-reiffel
36986,the-sea,Impressionism,childe-hassam
36987,zyrian-1894,Realism,vasily-vereshchagin
36988,an-autumn-lane,Romanticism,john-atkinson-grimshaw
36989,bastille-day-boulevard-rochechouart-paris,Impressionism,childe-hassam
36990,portrait-of-a-saxon-princess-1517,Northern Renaissance,lucas-cranach-the-elder
36991,autumn-1948,Cubism,henri-laurens
36992,mitate-yoshiwara-goju-san-tsui-beauty(1),Ukiyo e,keisai-eisen
36993,reclining-nude-1897,Post Impressionism,henri-de-toulouse-lautrec
36994,the-painting-lesson-1919,Expressionism,henri-matisse
36995,a-man-and-a-woman-seated-by-a-virginal-1660,Baroque,gabriel-metsu
36996,cool-series-no-9-gibraltar-1963,Color Field Painting,perle-fine
36997,wing-of-a-blue-roller-1512,Northern Renaissance,albrecht-durer
36998,still-life-three-salmon-steaks-1812,Romanticism,francisco-goya
36999,portrait-of-olga-surikova-the-artist-s-daughter-1888,Realism,vasily-surikov
37000,portrait-of-the-composer-arthur-lowenstein-1909,Art Nouveau Modern,egon-schiele
37001,himalayas-snowy-peak-at-dawn-1943,Symbolism,nicholas-roerich
37002,how-to-look-at-a-spiral-1946(1),Expressionism,ad-reinhardt
37003,sketch-for-maybelle-1898,Realism,thomas-eakins
37004,study-of-mountains-1904,Post Impressionism,maxime-maufra
37005,untitled-1979(2),Abstract Expressionism,gene-davis
37006,polonia-1914,Art Nouveau Modern,jacek-malczewski
37007,cos-cob,Impressionism,childe-hassam
37008,grand-canal-looking-north-from-near-the-rialto-bridge,Baroque,canaletto
37009,rocks-of-ladakh-1932,Symbolism,nicholas-roerich
37010,promenade-the-white-umbrella,Post Impressionism,dumitru-ghiatza
37011,studio-tack-board-1972,Pop Art,peter-blake
37012,watusi-policemen-1942,Post Impressionism,irma-stern
37013,young-woman-in-the-atelier-1904,Realism,janos-tornyai
37014,jolly-toper-1629,Baroque,judith-leyster
37015,portrait-of-a-lady-1633,Baroque,diego-velazquez
37016,in-the-crimea-mountains-1886,Realism,isaac-levitan
37017,the-reader-young-woman-reading-a-book-1876,Impressionism,pierre-auguste-renoir
37018,circe-s-palace-1982,Color Field Painting,ronnie-landfield
37019,theo-brauner,Impressionism,victor-brauner
37020,anomaly-blue-2006,Minimalism,alex-hay
37021,being-asleep-in-the-desert-where-he-had-retired-to-wait-for-the-death-elijah-has-been-awakened,Naive Art Primitivism,marc-chagall
37022,members-of-antwerp-town-council-and-masters-of-the-armaments-guild-1643,Baroque,david-teniers-the-younger
37023,self-portrait-2,Expressionism,george-bouzianis
37024,st-jerome-1440,Early Renaissance,fra-angelico
37025,lelant-sea-movement,Contemporary Realism,john-miller
37026,the-synagoge,Northern Renaissance,konrad-witz
37027,portrait-of-an-unknown-lady-in-a-pink-dress,Rococo,fyodor-rokotov
37028,forest-with-sunlit-clearing-in-the-background-1907,Impressionism,egon-schiele
37029,mother-of-god-study-1898,Symbolism,nikolaos-gyzis
37030,the-pancake-baker,Baroque,adriaen-brouwer
37031,chateau-noir-4,Cubism,paul-cezanne
37032,country-house-by-the-attersee,Art Nouveau Modern,gustav-klimt
37033,bella-1925,Expressionism,marc-chagall
37034,g,Expressionism,dimitris-mytaras
37035,portrait-of-anatoly-kramskoy-the-artist-s-son-1882,Realism,ivan-kramskoy
37036,head-of-a-man-with-hat-1886(1),Post Impressionism,vincent-van-gogh
37037,clytie-1878(1),Symbolism,george-frederick-watts
37038,seascape,Impressionism,childe-hassam
37039,north,Impressionism,konstantin-korovin
37040,landscape-with-dead-tree-1828,Romanticism,thomas-cole
37041,archway-with-trees-by-the-sea,Romanticism,william-turner
37042,number-20-1949,Abstract Expressionism,bradley-walker-tomlin
37043,blue-bird-pumpkin-1939(1),Expressionism,paul-klee
37044,autumn-landscape-1,Realism,isaac-levitan
37045,creation-of-the-world-x-1906,Symbolism,mikalojus-ciurlionis
37046,peyzaj(2),Impressionism,hoca-ali-riza
37047,ebb-vel-1874,Realism,vasily-polenov
37048,portrait-de-madame-dot-zac-1902,Impressionism,leon-bonnat
37049,the-adoration-of-the-kings,Early Renaissance,paolo-uccello
37050,camille-also-known-as-the-woman-in-a-green-dress,Realism,claude-monet
37051,criture-1961,Minimalism,jean-degottex
37052,portrait-of-monsieur-nicolle-1862,Realism,gustave-courbet
37053,the-miracle-of-the-relics-of-san-filippo-from-the-life-of-san-filippo-benizzi,High Renaissance,andrea-del-sarto
37054,ideal-city,Early Renaissance,piero-della-francesca
37055,the-artist-s-studio-1894,Realism,jose-malhoa
37056,portrait-of-mara-konstantinovna-oliv-1906,Realism,ilya-repin
37057,the-lady-of-the-festival-du-rosaire-1506,Northern Renaissance,albrecht-durer
37058,self-portrait-with-raised-arms-back-view-1912,Expressionism,egon-schiele
37059,untitled-abstraction(2),Abstract Expressionism,betty-parsons
37060,young-girl-in-a-flowered-hat-1905,Impressionism,pierre-auguste-renoir
37061,son-nicolas-with-a-red-cap-1627,Baroque,peter-paul-rubens
37062,red-thorns,Symbolism,odilon-redon
37063,portrait-caricature-of-giacomo-quarenghi-1814,Romanticism,orest-kiprensky
37064,abraham-is-going-to-sacrifice-his-son-according-to-the-order-of-god-genesis-xxii-9-14,Naive Art Primitivism,marc-chagall
37065,my-daughter-alice,Realism,william-merritt-chase
37066,illustration-for-the-fable-the-crow-and-the-fox-1934,Expressionism,martiros-saryan
37067,malong-1912,Art Nouveau Modern,nicholas-roerich
37068,number-24-untitled-1951,Color Field Painting,mark-rothko
37069,portrait-of-p-n-zubov-1839,Romanticism,vasily-tropinin
37070,native-couple-1939,Cubism,carlos-merida
37071,munich-haying,Impressionism,t.-c.-steele
37072,17-1964,Abstract Expressionism,paul-reed
37073,arrival-of-a-visitor,Baroque,jan-steen
37074,portrait-of-a-girl-with-crown-1642,Baroque,guido-reni
37075,arkhangelsk-port-on-dvina-1894,Impressionism,konstantin-korovin
37076,violinist-seen-from-the-back-1887,Post Impressionism,vincent-van-gogh
37077,self-portrait,Art Nouveau Modern,ferdinand-hodler
37078,icon-the-nativity-of-virgin-mary-fragment-from-the-village-of-voshatyn-in-volhynia(1),Baroque,yov-kondzelevych
37079,composition-1975,Minimalism,jean-degottex
37080,lady-alston,Rococo,thomas-gainsborough
37081,boyar-1,Romanticism,konstantin-makovsky
37082,shower-1,Ukiyo e,kitagawa-utamaro
37083,enthroned-madonna-with-angels-and-saints-st-joseph-and-st-bernard-on-the-left-st-john-the-1521,High Renaissance,lorenzo-lotto
37084,untitled-1966,Minimalism,jiro-yoshihara
37085,still-life-flowers-on-the-bench-1954,Realism,pyotr-konchalovsky
37086,man-and-woman-i-1905,Expressionism,edvard-munch
37087,the-end-of-autumn,Realism,theodore-rousseau
37088,vom-strande-page-9-1913,Expressionism,arthur-segal
37089,portrait-of-johann-jakob-1580,Mannerism Late Renaissance,paolo-veronese
37090,mary-with-child-1635,Baroque,guido-reni
37091,procession-of-the-dead-christ-1946,Expressionism,alberto-burri
37092,monet-in-his-floating-studio-1874,Impressionism,edouard-manet
37093,still-life-tin-of-tea-and-pot-of-tobacco-1913,Cubism,roger-de-la-fresnaye
37094,leveil-heart-1892,Realism,william-adolphe-bouguereau
37095,by-the-whirlpool-1891-2,Realism,isaac-levitan
37096,arrival-catherine-the-second-to-pheodosiya-1883,Romanticism,ivan-aivazovsky
37097,contempor-nea-magazine-no-6-watercolour-1922,Post Impressionism,mily-possoz
37098,jug-and-card-1919,Cubism,louis-marcoussis
37099,landscape,Baroque,paul-bril
37100,the-boatmen-of-mortefontaine-1870,Realism,camille-corot
37101,still-life-morning-lilac-1946,Realism,pyotr-konchalovsky
37102,the-sleeping-medusa-1896,Symbolism,fernand-khnopff
37103,the-apple,Pop Art,walter-battiss
37104,barracks-1857,Realism,taras-shevchenko
37105,the-prophet-ezekiel,Romanticism,gustave-dore
37106,media-vii,Minimalism,jean-degottex
37107,guardian-of-desert-1941,Symbolism,nicholas-roerich
37108,buttoner-1912,Art Nouveau Modern,nicholas-roerich
37109,egyptian-night-1912,Fauvism,martiros-saryan
37110,nude-on-a-blue-background-1913,Post Impressionism,albert-marquet
37111,composition-ii-still-life-1916,Cubism,theo-van-doesburg
37112,landscape-with-poplars,Post Impressionism,gustave-loiseau
37113,venice,Impressionism,william-merritt-chase
37114,sien-nursing-baby-half-figure-1882-1,Realism,vincent-van-gogh
37115,the-banks-of-the-seine,Impressionism,berthe-morisot
37116,tempest-on-the-northern-sea-1865,Romanticism,ivan-aivazovsky
37117,arrantzales-ond-rroa-1919,Expressionism,carlos-saenz-de-tejada
37118,micul-violonist-1922,Impressionism,rudolf-schweitzer-cumpana
37119,dutch-polder-landscape,Realism,johan-hendrik-weissenbruch
37120,woman-in-a-green-dress-in-a-garden,Post Impressionism,pierre-bonnard
37121,cityscape-1875,Realism,vasily-polenov
37122,northern-river-1915,Post Impressionism,tom-thomson
37123,morning-grass,Abstract Expressionism,mark-tobey
37124,before-the-mirror,Impressionism,berthe-morisot
37125,the-studio-1869,Romanticism,alfred-stevens
37126,portrait-of-a-young-girl-1880,Realism,henry-herbert-la-thangue
37127,portrait-of-queen-charlotte-1762,Rococo,allan-ramsay
37128,view-of-novodevichy-monastery-1899,Realism,isaac-levitan
37129,landmark-1892,Impressionism,santiago-rusinol
37130,les-demoiselles-d-avignon-vues-de-derri-re-1999,Pop Art,patrick-caulfield
37131,illustration-to-milton-s-paradise-lost-1807-4,Symbolism,william-blake
37132,swallow-and-begonia-and-strawberry-pie,Ukiyo e,katsushika-hokusai
37133,polyptych-of-cervara-center-panel-madonna-and-child-enthroned,Northern Renaissance,gerard-david
37134,fruit-dish-glass-and-newspaper-1916,Synthetic Cubism,juan-gris
37135,profile-and-red-child-1960,Naive Art Primitivism,marc-chagall
37136,hat,Expressionism,paul-delvaux
37137,suspended-1953,Action painting,franz-kline
37138,the-trough-1765,Rococo,jean-honore-fragonard
37139,birth-of-the-danube-1,Symbolism,konstantin-vasilyev
37140,don-quixote-77,Romanticism,gustave-dore
37141,draft-drawings-for-the-breakfast-room-of-the-apartment-eisler-terramare-proportion-of-study-1903,Art Nouveau Modern,koloman-moser
37142,numazu-senju-of-the-sakaya-1823(1),Ukiyo e,keisai-eisen
37143,zoe-hicks-1958,Post Impressionism,augustus-john
37144,jael-shows-to-barak-sisera-lying-dead,Symbolism,james-tissot
37145,illustration-for-louis-aragon-s-work-one-who-says-things-without-saying-anything-1976-18,Naive Art Primitivism,marc-chagall
37146,portrait-of-a-young-man,Realism,giovanni-boldini
37147,the-bay-golden-horn-in-istanbul-1872,Romanticism,ivan-aivazovsky
37148,birds-of-paradise,Cubism,vicente-manansala
37149,portrait-of-ivan-timofeevich-savenkov-in-his-st-petersburg-university-student,Realism,ilya-repin
37150,the-three-parks,Baroque,bernardo-strozzi
37151,the-river-seine-at-chatou-1906,Fauvism,maurice-de-vlaminck
37152,old-bottle-man,Impressionism,childe-hassam
37153,portrait-of-cecilia-de-madrazo,Realism,giovanni-boldini
37154,skiffs-on-the-yerres,Impressionism,gustave-caillebotte
37155,raul-pig-1930,Post Impressionism,pyotr-konchalovsky
37156,portrait-of-jeanne-hebuterne-1918-2,Expressionism,amedeo-modigliani
37157,bell-tower-of-the-church-of-saint-paterne-at-orleans-1845,Realism,camille-corot
37158,portrait-of-a-young-man-1490,Northern Renaissance,hans-memling
37159,la-table-de-l-architecte-1977,Abstract Expressionism,julio-pomar
37160,st-sebastian,Mannerism Late Renaissance,el-greco
37161,in-the-garden-1870,Impressionism,edouard-manet
37162,blue-night,New Realism,edward-hopper
37163,wind-fallen-trees-1867,Realism,ivan-shishkin
37164,apple-tree-in-blossom,Impressionism,gustave-caillebotte
37165,untitled,Abstract Expressionism,eva-hesse
37166,st-stephen-the-martyr,Early Renaissance,domenico-ghirlandaio
37167,illustration-for-the-russian-fairy-story-the-frog-princess(1),Art Nouveau Modern,ivan-bilibin
37168,the-miracle-of-st-eligius-predella-panel-from-the-altarpiece-of-st-mark-1492(1),Early Renaissance,sandro-botticelli
37169,sunny-morning-on-the-hudson-river-1827,Romanticism,thomas-cole
37170,irrigation-in-egypt,Realism,konstantin-makovsky
37171,portrait-of-rembrandt-van-rijn,Baroque,rembrandt
37172,himalayas-61,Symbolism,nicholas-roerich
37173,women-fishing-for-shrimp-at-kerhor-1880-1,Impressionism,eugene-boudin
37174,late-summer-afternoon-the-bronx,Post Impressionism,abraham-manievich
37175,grand-canal-looking-south-west,Baroque,canaletto
37176,twilight-apples-1930,Realism,pyotr-konchalovsky
37177,esquinas-1973,Color Field Painting,jose-guerrero
37178,landscape-with-cottages-and-a-mill-1885,Realism,vincent-van-gogh
37179,the-japanese-bridge-the-water-lily-pond-symphony-in-rose,Impressionism,claude-monet
37180,the-paver-of-the-chailly-1835,Realism,camille-corot
37181,portrait-of-a-woman-in-white,Romanticism,alfred-stevens
37182,the-battle-of-navarino-1846,Romanticism,ivan-aivazovsky
37183,the-sleaping-beauty-1890,Romanticism,edward-burne-jones
37184,portrait-of-countess-elizaveta-santi,Rococo,fyodor-rokotov
37185,a-girl-and-her-duenna-1670,Baroque,bartolome-esteban-murillo
37186,lord-dalhousie-1900,Realism,john-singer-sargent
37187,st-dominic-burning-heretical-writings-1490,Early Renaissance,domenico-ghirlandaio
37188,portrait-of-don-aureliano-de-beruete-1902,Impressionism,joaquã­n-sorolla
37189,model-for-the-cover-of-minotaur-1933,Cubism,pablo-picasso
37190,the-sea-and-rocks,Post Impressionism,henri-martin
37191,the-holy-family-with-saints-elizabeth-and-john,High Renaissance,raphael
37192,blind-musician-1809,Romanticism,orest-kiprensky
37193,bay-at-kominato-in-awa-province,Ukiyo e,hiroshige
37194,the-story-of-st-nicholas-the-death-of-the-saint-1448,Early Renaissance,fra-angelico
37195,untitled-sumi-1957,Abstract Expressionism,mark-tobey
37196,tower-chamber-of-yaroslavna-1914,Art Nouveau Modern,nicholas-roerich
37197,reclining-figure-1934,Cubism,julio-gonzalez
37198,the-painter-s-mother-1984,Expressionism,lucian-freud
37199,acrobats-on-a-holiday-near-paris-1877,Realism,viktor-vasnetsov
37200,pipkin-with-alewifes,Impressionism,constantin-artachino
37201,sailboats-1885,Impressionism,pierre-auguste-renoir
37202,illustration-for-the-epic-ilya-muromets-and-svyatogor-s-wife-1912(1),Art Nouveau Modern,ivan-bilibin
37203,self-portrait-1,Post Impressionism,pierre-bonnard
37204,portrait-of-a-young-woman-holding-grapes-and-apples-1528,Northern Renaissance,lucas-cranach-the-elder
37205,overgrown-pond-1887,Realism,isaac-levitan
37206,woman-at-the-window,Impressionism,edgar-degas
37207,escher-s-father,Expressionism,m.c.-escher
37208,the-mask-maker-1941,Expressionism,vilmos-aba-novak
37209,paper-kite-brown-hat-and-red-vase-1987,Abstract Expressionism,taro-yamamoto
37210,bridge-over-the-oise-to-vadencourt-1912,Cubism,auguste-herbin
37211,self-portrait,Realism,ivan-kramskoy
37212,view-of-fortundalen-1836,Romanticism,johan-christian-dahl
37213,spring-stags-fighting-1861,Realism,gustave-courbet
37214,waterside-scene,Impressionism,john-henry-twachtman
37215,carnival-in-arcueil-1911-1,Expressionism,lyonel-feininger
37216,sketch-for-ladoga-series-1917,Symbolism,nicholas-roerich
37217,the-church-at-marissel,Realism,camille-corot
37218,great-tree-at-m-rt-ly-1910,Post Impressionism,janos-tornyai
37219,young-man-and-skull,Post Impressionism,paul-cezanne
37220,iwai-hanshiro,Ukiyo e,utagawa-toyokuni
37221,portrait-of-miss-frances,Impressionism,william-merritt-chase
37222,not-detected-272533,Expressionism,lynd-ward
37223,sketches-of-the-heads-1816,Romanticism,orest-kiprensky
37224,landscape-in-stormy-weather-1885,Realism,vincent-van-gogh
37225,still-life-heron-with-spread-wings-1867,Realism,alfred-sisley
37226,portrait-of-nikolay-kramskoy-the-artist-s-son-1882,Realism,ivan-kramskoy
37227,place-de-la-madeleine-3,Post Impressionism,edouard-cortes
37228,untitled-1969,Minimalism,fred-sandback
37229,portrait-of-andrei-nartov,Baroque,ivan-nikitin
37230,bayonet-charge-hurrah-hurrah-1895,Realism,vasily-vereshchagin
37231,the-pot-of-geraniums,Realism,odilon-redon
37232,illustration-for-the-magazine-golden-fleece-1906(1),Art Nouveau Modern,ivan-bilibin
37233,beach-scene-villers-1894,Impressionism,eugene-boudin
37234,studies-of-the-sexual-act-and-male-sexual-organ,High Renaissance,leonardo-da-vinci
37235,preparation-for-the-examination-1864,Realism,ilya-repin
37236,ksaplwth-gunaika-1930,Expressionism,george-bouzianis
37237,woman-combing-her-hair,Cubism,olexandr-archipenko
37238,forester-s-son,Expressionism,nicolae-tonitza
37239,priests-exhorting-the-crusaders,Romanticism,gustave-dore
37240,evening,Impressionism,childe-hassam
37241,self-portrait-1816,Romanticism,karl-bryullov
37242,landscape-with-two-small-trees,Post Impressionism,ferdinand-hodler
37243,landscape-and-fique-vault,Post Impressionism,rafael-zabaleta
37244,reflections-aka-canal-scene,Impressionism,william-merritt-chase
37245,sir-william-herschel-1738-1822-1795,Rococo,john-russell
37246,le-haver-the-port-entrance-1897,Impressionism,othon-friesz
37247,rocks-at-trayas,Post Impressionism,henri-edmond-cross
37248,himalayas-1945-2,Symbolism,nicholas-roerich
37249,forest,Impressionism,arkhip-kuindzhi
37250,sunspots-on-frost-sunset-in-the-forest,Impressionism,arkhip-kuindzhi
37251,sea-view-1900,Romanticism,ivan-aivazovsky
37252,polyptych-of-the-resurrection-virgin-annunciate-1522,High Renaissance,titian
37253,mimi-and-her-cat-1890,Post Impressionism,paul-gauguin
37254,sower-facing-left,Realism,vincent-van-gogh
37255,rue-caulaincourt-1905,Impressionism,pierre-auguste-renoir
37256,a-peasant-woman-with-a-patterned-headscarf,Art Nouveau Modern,filipp-malyavin
37257,self-portrait,Symbolism,arnold-bã¶cklin
37258,beggar-with-a-crippled-hand-leaning-on-a-stick-1629,Baroque,rembrandt
37259,spring,Art Nouveau Modern,stefan-luchian
37260,embarkation-after-folkestone-1869,Impressionism,edouard-manet
37261,the-transatlantic-leaving-port-1905,Post Impressionism,maxime-maufra
37262,to-lift-1967,Minimalism,richard-serra
37263,the-ark-passes-over-the-jordan,Symbolism,james-tissot
37264,alleyway-in-the-park-of-saint-cloud-1908,Naive Art Primitivism,henri-rousseau
37265,blossoming-almonds-landscape-in-italy-1902,Post Impressionism,tivadar-kosztka-csontvary
37266,portrait-of-georges-henri-manuel-1891,Post Impressionism,henri-de-toulouse-lautrec
37267,illustration-to-dante-s-divine-comedy-hell-4,Symbolism,william-blake
37268,pluckmakers-1871,Realism,mihaly-munkacsy
37269,a-girl-with-braids-portrait-of-a-a-dobrinskaya-1910,Impressionism,vasily-surikov
37270,the-death-of-sardanapalus-1827(1),Romanticism,eugene-delacroix
37271,study-of-an-apple-1885,Post Impressionism,paul-cezanne
37272,the-source-of-the-lison-1866,Realism,gustave-courbet
37273,the-pearl-of-the-cloud-from-the-kingdom-of-the-pearl,Art Nouveau Modern,edmund-dulac
37274,pupils-bringing-thank-to-stroganov-on-the-occasion-of-new-year-1804,Romanticism,orest-kiprensky
37275,mirrors-and-shelly-sand-1970,Minimalism,robert-smithson
37276,the-canary,Baroque,jean-baptiste-simeon-chardin
37277,the-brook-greenwich-connecticut,Impressionism,john-henry-twachtman
37278,sailing-boats-1906,Symbolism,mikalojus-ciurlionis
37279,reflections-iv-1995,Abstract Expressionism,helen-frankenthaler
37280,the-dishonorable-truce,Romanticism,gustave-dore
37281,temple-of-artemis-1572,Mannerism Late Renaissance,maerten-van-heemskerck
37282,self-portrait-no-20-1983,Expressionism,ivan-albright
